ie_committee_name,supporting_or_opposing,target_candidate,total_spent_or_raised,top_funder_one_level_up,top_funder_amount,source_url,tier
"OVRSITE PAC (C00854869)","supporting","Porter (Senate 2024)","$490,000 (Porter) + $46K against Early","Gerald Singleton (Singleton Schreiber law firm)","$250,000","https://www.opensecrets.org/political-action-committees-pacs/ovrsite-pac/C00854869/independent-expenditures/2024",1
"WHITEBOARD (Women Have Initiative To Elect Boost and Organize for A Real Democrat)","supporting","Porter (Senate 2024)","$620,000 raised","not fully itemized","not confirmed","https://www.latimes.com/california/story/2024-02-27/california-senate-election-donors-super-pacs-independent-expenditures-schiff-porter-lee-garvey",2
"Fairshake (C00835959)","opposing","Porter (Senate 2024)","$10,041,117","Marc Andreessen; Ben Horowitz; Coinbase/Brian Armstrong; Winklevoss twins","$7,000,000+ (Andreessen)","https://www.opensecrets.org/outside-spending/detail/2024?cmte=C00835959&tab=targeted_candidates",1
"California Back To Basics Supporting Matt Mahan For Governor 2026 (FPPC 1487425)","supporting","Mahan","~$16.7M raised (FPPC top-10); >$19.5M combined IEs spent","Michael Moritz (Sequoia/SF Standard)","$3,000,000","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/",1
"Deliver for California – Matt Mahan for Governor 2026 (FPPC 1488716)","supporting","Mahan","~$2.9M raised","Sergey Brin (Google co-founder)","$1,000,000","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/",1
"Californians for Resilient & Affordable Energy No on Steyer for Governor 2026","opposing","Steyer","~$9,975,000","PG&E Corp","$9,975,000 ($8M + $1.975M)","https://energyandpolicy.org/becerra-150k-from-ca-utilities/",1
"California is Not for Sale No on Steyer for Governor 2026 a Coalition of Housing Advocates Labor and Small Business (FPPC 1489677)","opposing","Steyer","$21,025,000","Californians for Resilient & Affordable Energy ($10M transfer); JOBSPAC/CA Chamber ($5M); CA Assoc of Realtors IE ($5M); CA Building Industry Assoc PAC ($1M)","$10,000,000 (PG&E-funded transfer)","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/",1
"Straight From the Heart of California (FPPC 1486030)","supporting","Villaraigosa","~$800,000 raised","not itemized publicly (broad coalition described)","not confirmed","https://theballotbook.com/campaign_finance/committees/20271/receipts",2
"Californians for a Fighter in Support of Eric Swalwell for Governor 2026 (FPPC 1488732)","supporting","Swalwell (suspended)","$12,755,500 total (both IE committees)","Uber Innovation PAC","$2,000,000","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/",1
"Nurses and Educators Supporting Swalwell for Governor 2026 sponsored by SEIU CA State Council (FPPC 1489873)","supporting","Swalwell (suspended)","included in $12,755,500 above","SEIU California State Council for Working People","$2,000,000","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/",1
"Families & Teachers for Antonio Villaraigosa for Governor 2018 sponsored by California Charter Schools Association Advocates","supporting","Villaraigosa (2018)","$15,600,000","Reed Hastings","$7,000,000","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2018-primary-election/",1
"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018 (sponsored by teachers and school employees organizations)","supporting","Thurmond (2018 SPI)","$12,989,175","California Teachers Association (estimated $8M+)","$8,000,000 (estimated)","https://www.fppc.ca.gov/transparency/top-contributors/nov-18-gen.html",1
"Californians Supporting Tony Thurmond for Superintendent of Public Instruction 2022 (FPPC 1448022)","supporting","Thurmond (2022 SPI)","$2,200,000","California Teachers Association IE Committee","$1,175,000","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2022-primary-election/",1
"NextGen Climate Action Committee (FEC C00547349)","supporting","Democrats generally (2024 cycle)","$2,645,825 in IEs (2024 cycle)","NextGen Climate Action 501c4 transfers","$6,938,519 (from 501c4 umbrella)","https://www.fec.gov/data/committee/C00547349/",1
